time,battery_level,battery_status,battery_health,battery_adaptor
1612130332.55,45,3,2,0
1612131358.597,45,3,2,0
1612131532.529,44,3,2,0
1612132132.48,44,3,2,0
1612133332.493,44,3,2,0
1612133932.502,44,3,2,0
1612134532.477,43,3,2,0
1612134832.778,42,3,2,0
1612134893.329,42,3,2,1
1612134893.721,42,2,2,1
1612134953.176,43,2,2,1
1612135008.713,44,2,2,1
1612135093.842,45,2,2,1
1612135170.197,46,2,2,1
1612135245.099,47,2,2,1
1612135373.202,48,2,2,1
1612135391.805,49,2,2,1
1612135478.217,50,2,2,1
1612135553.182,51,2,2,1
1612135626.545,52,2,2,1
1612135673.177,52,2,2,1
1612135699.876,53,2,2,1
1612135768.853,54,2,2,1
1612135853.187,55,2,2,1
1612135902.402,56,2,2,1
1612136032.906,58,2,2,1
1612136153.208,59,2,2,1
1612136213.176,60,2,2,1
1612136273.188,61,2,2,1
1612136333.198,62,2,2,1
1612136393.188,63,2,2,1
1612136453.177,64,2,2,1
1612136513.194,65,2,2,1
1612136573.191,66,2,2,1
1612136678.341,67,2,2,1
1612136693.188,68,2,2,1
1612136813.201,69,2,2,1
1612136873.187,70,2,2,1
1612136933.196,71,2,2,1
1612137036.085,72,2,2,1
1612137109.431,73,2,2,1
1612137173.195,74,2,2,1
1612137233.194,75,2,2,1
1612137339.685,76,2,2,1
1612137413.189,77,2,2,1
1612137473.2,78,2,2,1
1612137585.948,79,2,2,1
1612137653.19,80,2,2,1
1612137735.386,81,2,2,1
1612137773.182,82,2,2,1
1612137868.669,83,2,2,1
1612137933.09,84,2,2,1
1612138007.754,85,2,2,1
1612138073.197,86,2,2,1
1612138133.187,87,2,2,1
1612138296.307,88,2,2,1
1612138373.192,89,2,2,1
1612138486.631,90,2,2,1
1612138599.362,91,2,2,1
1612138707.664,92,2,2,1
1612138821.811,93,2,2,1
1612138913.191,94,2,2,1
1612139069.039,95,2,2,1
1612139153.234,96,2,2,1
1612139273.197,97,2,2,1
1612139453.185,98,2,2,1
1612139513.197,99,2,2,1
1612139617.029,100,2,2,1
1612140173.198,100,2,2,1
1612141313.182,100,2,2,1
1612141973.183,100,2,2,1
1612142441.13,100,5,2,1
1612142873.192,100,5,2,1
1612143773.194,100,5,2,1
1612144673.174,100,5,2,1
1612145573.199,100,5,2,1
1612146473.192,100,5,2,1
1612147373.176,100,5,2,1
1612148453.2,100,5,2,1
1612149353.193,100,5,2,1
1612150313.192,100,5,2,1
1612150973.196,100,5,2,1
1612152113.195,100,5,2,1
1612152773.198,100,5,2,1
1612153673.201,100,5,2,1
1612154573.192,100,5,2,1
1612155713.198,100,5,2,1
1612156373.199,100,5,2,1
1612157273.187,100,5,2,1
1612158173.19,100,5,2,1
1612159073.197,100,5,2,1
1612159973.187,100,5,2,1
1612161113.191,100,5,2,1
1612161773.185,100,5,2,1
1612162733.189,100,5,2,1
1612163573.188,100,5,2,1
1612164473.172,100,5,2,1
1612165373.186,100,5,2,1
1612165397.418,100,3,2,0
1612165997.415,99,3,2,0
1612166404.5,99,3,2,0
1612167197.362,98,3,2,0
1612167525.579,98,3,2,0
1612167719.775,97,3,2,0
1612168397.355,97,3,2,0
1612168997.358,97,3,2,0
1612169597.386,96,3,2,0
1612170197.351,96,3,2,0
1612170797.334,96,3,2,0
1612171397.383,95,3,2,0
1612171997.362,95,3,2,0
1612172597.401,94,3,2,0
1612172958.241,94,3,2,0
1612173797.351,94,3,2,0
1612174012.612,93,3,2,0
1612174500.568,93,3,2,0
1612174997.365,92,3,2,0
1612175597.337,92,3,2,0
1612176301.442,92,3,2,0
1612177397.39,91,3,2,0
1612178597.352,91,3,2,0
1612179197.393,90,3,2,0
1612179797.394,90,3,2,0
1612180397.376,89,3,2,0
1612180895.989,89,3,2,0
1612182197.379,88,3,2,0
1612182797.389,87,3,2,0
1612183397.349,87,3,2,0
1612183997.37,86,3,2,0
1612184597.393,85,3,2,0
1612185197.34,85,3,2,0
1612186397.387,84,3,2,0
1612187173.891,84,3,2,0
1612187960.246,83,3,2,0
1612189397.389,82,3,2,0
1612190061.734,82,3,2,0
1612190597.353,82,3,2,0
1612190960.531,81,3,2,0
1612191797.352,81,3,2,0
1612192397.358,80,3,2,0
1612192640.806,80,3,2,0
1612193290.86,80,3,2,0
1612193291.689,80,3,2,2
1612193292.122,80,2,2,2
1612193411.602,81,2,2,2
1612193531.608,82,2,2,2
1612193651.617,83,2,2,2
1612193771.6,84,2,2,2
1612193951.607,85,2,2,2
1612194131.595,86,2,2,2
1612194172.711,86,2,2,2
1612194251.623,87,2,2,2
1612194431.588,88,2,2,2
1612194551.605,89,2,2,2
1612194731.604,90,2,2,2
1612194867.846,91,2,2,2
1612195031.607,92,2,2,2
1612195091.601,92,2,2,2
1612195247.72,93,2,2,2
1612195391.606,94,2,2,2
1612195631.605,95,2,2,2
